"x","y"
-0.0416666674,41.2916666663
-0.0416666674,52.5416666662
-0.0416666674,53.0416666662
-0.1250000007,39.9583333329
-0.1250000007,40.0416666663
-0.1250000007,51.3749999996
-0.1250000007,51.5416666662
-0.1250000007,52.2083333329
-0.2083333341,40.9583333329
-0.2916666674,42.7083333329
-0.3750000007,42.2916666663
-0.5416666674,51.2083333329
-0.5416666674,51.5416666662
-0.5416666674,52.0416666662
-0.5416666674,53.2083333329
-0.6250000007,52.8749999995
-0.6250000007,53.5416666662
-0.7083333341,40.9583333329
-0.7083333341,42.1249999996
-0.8750000007,39.2916666663
-1.1250000007,52.1249999996
-1.1250000007,52.5416666662
-1.2083333341,53.3749999995
-1.2916666674,51.6249999996
-1.3750000007,53.6249999995
-1.5416666674,50.8749999996
-1.5416666674,51.7083333329
-1.5416666674,52.2083333329
-1.5416666674,52.5416666662
-1.5416666674,53.2916666662
-1.5416666674,53.6249999995
-1.6250000007,41.3749999996
-2.0416666674,51.3749999996
-2.0416666674,52.0416666662
-2.0416666674,52.5416666662
-2.0416666674,53.8749999995
-2.1250000007,53.1249999995
-2.2916666674,51.7916666662
-2.5416666674,42.4583333329
-2.5416666674,42.9583333329
-2.5416666674,51.6249999996
-2.6250000007,52.0416666662
-2.6250000007,52.6249999995
-2.6250000007,53.0416666662
-2.708333334,51.3749999996
-2.7916666674,53.7916666662
-2.7916666674,54.1249999995
-3.0416666674,52.7916666662
-3.0416666674,53.3749999995
-3.208333334,42.7916666663
-3.2916666674,55.8749999995
-3.458333334,56.3749999995
-3.5416666674,50.6249999996
-3.7916666674,56.0416666662
-3.958333334,55.8749999995
-4.0416666674,55.8749999995
-4.5416666674,55.7916666662
-6.708333334,53.9583333329
-6.958333334,52.9583333329
-7.2916666674,53.7916666662
-7.3750000007,54.1249999995
-7.5416666674,54.2083333329
-7.7916666674,54.5416666662
-7.958333334,53.2083333329
-7.958333334,53.8749999995
-8.0416666674,53.2083333329
-8.0416666674,53.9583333329
-8.208333334,54.0416666662
-8.3750000007,52.7916666662
-8.5416666674,52.7916666662
-9.0416666674,53.3749999995
-9.2916666674,53.5416666662
0.0416666659,41.2916666663
0.0416666659,51.5416666662
0.0416666659,52.2916666662
0.0416666659,52.5416666662
0.1249999993,51.2083333329
0.2083333326,42.1249999996
0.7083333326,42.1249999996
0.7916666659,41.1249999996
0.8749999993,41.8749999996
0.8749999993,51.9583333329
1.0416666659,49.4583333329
1.0416666659,51.9583333329
1.1249999993,41.9583333329
1.2916666659,47.2916666662
1.3749999993,52.5416666662
1.5416666659,52.4583333329
1.5416666659,52.5416666662
1.6249999993,47.2916666662
10.3749999992,52.2916666662
10.6249999992,45.5416666662
10.7083333326,48.7083333329
11.0416666659,49.7916666662
11.0416666659,51.1249999996
11.1249999992,47.8749999996
11.2083333326,49.2083333329
11.4583333326,53.6249999995
11.5416666659,48.1249999996
11.6249999992,52.3749999996
11.7916666659,55.4583333329
11.9583333326,47.8749999996
12.2916666659,53.4583333329
12.5416666659,44.9583333329
12.7916666659,48.8749999996
12.9583333326,48.2083333329
13.0416666659,53.2083333329
13.2083333326,51.4583333329
13.2083333326,52.4583333329
13.3749999992,47.7083333329
13.6249999992,52.4583333329
13.9583333326,50.9583333329
14.2083333326,48.2916666662
14.4583333326,51.2083333329
15.1249999992,48.0416666662
15.5416666659,59.2083333329
16.0416666659,59.1249999995
16.3749999992,48.2916666662
16.5416666659,48.1249999996
16.7916666659,59.4583333329
16.9583333325,58.9583333329
17.0416666659,59.0416666662
17.2916666659,59.7083333329
17.5416666659,59.3749999995
17.5416666659,59.5416666662
17.5416666659,60.0416666662
18.0416666659,59.2916666662
18.2916666659,59.5416666662
18.5416666659,59.8749999995
19.0416666659,47.7916666662
19.1249999992,42.2083333329
2.3749999993,50.7083333329
2.7083333326,48.1249999996
20.7083333325,40.9583333329
22.4583333325,43.5416666663
22.5416666659,43.3749999996
23.0416666659,43.3749999996
23.7083333325,43.1249999996
24.5416666658,58.3749999995
26.8749999992,42.8749999996
26.9583333325,48.6249999996
27.3749999992,42.3749999996
27.3749999992,59.0416666662
27.7083333325,43.2083333329
27.8749999992,42.0416666663
28.1249999992,45.6249999996
28.2916666658,57.7916666662
28.3749999992,45.3749999996
28.4583333325,49.2916666662
28.6249999992,45.3749999996
28.6249999992,45.6249999996
28.6249999992,48.9583333329
28.8749999992,44.6249999996
29.0416666658,47.5416666662
29.2083333325,48.7083333329
29.3749999992,45.0416666662
29.6249999992,46.7916666662
29.6249999992,60.2083333329
29.8749999992,58.5416666662
3.0416666659,50.1249999996
3.4583333326,43.6249999996
3.5416666659,51.4583333329
3.6249999993,51.5416666662
3.7916666659,43.6249999996
3.7916666659,46.5416666662
30.0416666658,46.3749999996
30.2916666658,59.9583333329
30.5416666658,50.4583333329
30.7916666658,37.3749999996
30.7916666658,37.8749999996
31.1249999992,46.8749999996
31.2083333325,47.7083333329
31.2916666658,58.5416666662
31.5416666658,46.7083333329
31.5416666658,47.1249999996
31.7083333325,37.7083333329
31.9583333325,49.5416666662
32.1249999992,47.0416666662
32.1249999992,48.7083333329
32.2916666658,60.1249999995
32.5416666658,46.6249999996
32.7916666658,47.2083333329
33.2083333325,47.2916666662
33.5416666658,47.6249999996
34.0416666658,47.5416666662
34.3749999991,45.7916666662
34.7916666658,45.4583333329
34.9583333325,57.8749999995
35.1249999991,47.5416666662
35.3749999991,46.4583333329
35.3749999991,46.7916666662
35.4583333325,47.0416666662
37.3749999991,45.2916666662
37.3749999991,55.7916666662
37.5416666658,47.1249999996
37.5416666658,55.9583333329
37.6249999991,44.7083333329
38.4583333325,47.2083333329
38.7083333325,46.7083333329
38.7916666658,47.2916666662
38.7916666658,58.0416666662
38.9583333325,45.0416666662
39.1249999991,44.9583333329
39.2083333325,51.6249999996
39.2916666658,47.2916666662
39.3749999991,50.9583333329
39.9583333325,50.5416666662
4.0416666659,51.2916666662
4.0416666659,51.7083333329
4.1249999993,52.0416666662
4.5416666659,51.6249999996
4.5416666659,52.0416666662
4.6249999993,52.5416666662
4.7083333326,51.4583333329
4.7916666659,53.0416666662
40.7916666658,47.1249999996
40.8749999991,49.9583333329
41.3749999991,46.9583333329
42.2916666658,47.7083333329
42.7916666658,46.3749999996
42.9583333324,48.0416666662
43.0416666658,49.3749999996
43.2083333324,56.9583333329
48.2083333324,46.3749999996
49.4583333324,55.2916666662
5.0416666659,51.5416666662
5.0416666659,52.0416666662
5.0416666659,52.5416666662
5.1249999993,51.3749999996
5.3749999993,47.8749999996
5.3749999993,53.0416666662
5.5416666659,51.4583333329
5.5416666659,51.6249999996
5.5416666659,52.0416666662
5.5416666659,52.5416666662
5.5416666659,53.0416666662
5.7083333326,50.7916666662
5.9583333326,45.7916666662
5.9583333326,48.7083333329
51.8749999991,47.0416666662
59.4583333324,54.2916666662
6.0416666659,49.6249999996
6.0416666659,51.2083333329
6.0416666659,51.5416666662
6.0416666659,52.0416666662
6.0416666659,52.5416666662
6.0416666659,53.1249999995
6.1249999993,48.7916666662
6.2083333326,45.8749999996
6.3749999993,49.4583333329
6.5416666659,51.8749999996
6.5416666659,52.2083333329
6.5416666659,52.5416666662
6.5416666659,53.2083333329
6.7083333326,49.7916666662
6.7916666659,51.4583333329
6.8749999993,50.7916666662
7.0416666659,50.8749999996
7.0416666659,52.3749999996
7.0416666659,52.6249999995
7.0416666659,53.2083333329
7.2083333326,51.7083333329
7.6249999993,50.2916666662
7.6249999993,52.3749999996
7.7083333326,48.5416666662
7.9583333326,49.9583333329
8.1249999993,47.2083333329
8.2083333326,50.0416666662
8.2916666659,49.2916666662
8.2916666659,49.9583333329
8.5416666659,45.7916666662
9.2083333326,52.1249999996
9.4583333326,47.6249999996
9.7083333326,47.5416666662
9.8749999992,51.4583333329
-99.36845,53.17623
-96.58357,50.47381
-96.98356,50.63182
-97.26594,49.46168
-79.6847,45.6294
-81.9037,43.2317
-78.4353,44.5698
-78.8481,44.5884
-79.511,44.6122
-77.4932,44.12
-76.9354,44.1658
-77.5974,44.0561
-77.0317,44.5088
-77.8319,44.5055
-76.4667,44.9059
-76.7199,44.7764
-78.385,44.4578
-76.7953,45.0555
-76.3134,44.4122
-75.9995,44.5372
-81.2284,44.5568
-83.1177978516,42.1055984497
-82.9516983032,42.3418998718
-75.7017,45.3944
-81.1693,43.0569
-80.0148,44.709
-81.337,45.1646
-80.1655,44.4909
-80.7425,45.875
-80.2232,45.2902
-80.9475,44.7931
-81.6809,45.2555
-81.82,45.8725
-81.6422,46.0841
-80.531,45.424
-80.4245,45.5779
-78.5395,45.0409
-78.1856,45.3808
-79.3861,44.7015
-79.244385,42.710696
-78.892822,42.827639
-80.1222000122,42.7150001526
-79.5171966553,42.8135986328
-81.213169,42.657823
-82.6016998291,41.8763999939
-82.4700012207,41.8199996948
-81.21,42.43
-81.67,42.28
-83.05,41.9503
-81.76,41.98
-82.161255,42.094146
-82.415,43.0034
-81.3845,44.4921
-81.7334,43.739
-82.0086,45.5604
-81.7438,44.0495
-82.06,43.89
-82.06,44.74
-82.4503,45.28
-82.12,44.1014
-83.7313,46.2866
-83.2237,45.9134
-80.7318,42.8688
-79.594574,43.515693
-75.8267974854,44.4350013733
-74.2711029053,45.2192001343
-74.5286026001,45.0643997192
-75.3050003052,44.8422012329
-79.0715255737,43.2841644287
-79.639893,43.444943
-79.2283,43.7121
-78.6636,43.8872
-76.8956,43.8588
-78.4858932495,43.886100769
-77.6632995605,43.9991989136
-77.44,43.77
-78.9405,44.1054
-79.476,44.3009
-79.539,44.3117
-89.193192,48.42191
-85.008,47.5865
-82.5385,45.8255
-80.577507,43.478584
-80.9214,44.356
-76.1659,45.0637
-76.8061,45.5892
-82.4002,42.5982
-74.8252029419,44.9958992004
-84.3459,46.5044
-78.118529,46.13437
-77.324719,45.56556
-80.53722,42.4725
-84.05247,46.17847
-82.685798645,42.5155982971
-82.8256,46.2142
-77.700279,45.59028
-79.7291946411,45.1655502319
-79.4431152344,45.038066864
-73.967,45.333
-71.7478,46.6661
-72.3433,46.4344
-71.1997,46.8075
-86.220016,34.447122
-87.76229095,34.73377227
-87.3818893433,34.8018608093
-86.546257,34.533332824
-91.3163146973,33.9923477173
-92.915,36.4743
-91.1360549927,33.3557357788
-92.7872009277,35.1253662109
